"name","period","end_time","value"
"page_views_total","day","2025-03-15T07:00:00+0000",2
"page_views_total","day","2025-03-16T07:00:00+0000",11
"page_views_total","week","2025-03-15T07:00:00+0000",42
"page_views_total","week","2025-03-16T07:00:00+0000",52
"page_views_total","days_28","2025-03-15T07:00:00+0000",121
"page_views_total","days_28","2025-03-16T07:00:00+0000",129
