"name","period","end_time","value"
"page_fans_country","day","2025-03-19T07:00:00+0000","{""RS"":2,""DE"":17,""BD"":2,""BE"":95,""PT"":3,""DK"":1,""FR"":1,""UA"":1,""HU"":1176,""SA"":3,""SE"":1,""SK"":5,""GB"":21,""US"":5,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":6,""ZA"":1,""IR"":1,""MX"":1,""IT"":4,""CO"":1,""KW"":1,""ES"":5,""AT"":9,""TH"":1,""AU"":1,""AW"":1,""VN"":2,""NG"":1,""PL"":1,""RO"":12,""NL"":536,""BA"":2}"
"page_fans_country","day","2025-03-20T07:00:00+0000","{""RS"":2,""DE"":17,""BD"":2,""BE"":95,""PT"":3,""DK"":1,""FR"":1,""UA"":1,""HU"":1176,""SA"":3,""SE"":1,""SK"":5,""GB"":21,""US"":5,""SR"":1,""MM"":1,""EG"":1,""CH"":3,""CI"":6,""ZA"":1,""IR"":1,""MX"":1,""IT"":4,""KW"":1,""CO"":1,""ES"":5,""AT"":9,""AU"":1,""TH"":1,""AW"":1,""VN"":2,""NG"":1,""PL"":1,""RO"":12,""NL"":535,""BA"":2}"
